Protein Accession,Transcript Accession
NP_650899.1,NM_142642.2
NP_001163664.1,NM_001170193.1
NP_524724.2,NM_079985.4
NP_001262765.1,NM_001275836.1
NP_001262767.1,NM_001275838.1
NP_001262766.1,NM_001275837.1
NP_001262768.1,NM_001275839.1
NP_001163665.1,NM_001170194.2
NP_001097846.1,NM_001104376.3
NP_001262769.1,NM_001275840.1
NP_650901.2,NM_142644.2
NP_524418.2,NM_079694.3
NP_732533.1,NM_169907.2
NP_732534.1,NM_169908.2
NP_732535.1,NM_169909.2
NP_732536.1,NM_169910.2
NP_650902.1,NM_142645.3
NP_001262770.1,NM_001275841.1
NP_001262772.1,NM_001275843.1
NP_001262771.1,NM_001275842.1
NP_001097847.1,NM_001104377.2
NP_001036733.1,NM_001043268.2
NP_651982.1,NM_143725.3
NP_001262773.1,NM_001275844.1
NP_732540.2,NM_169912.1
NP_650904.3,NM_142647.3
NP_650905.2,NM_142648.3
NP_650906.1,NM_142649.4
NP_732542.1,NM_169914.2
NP_001262774.1,NM_001275845.2
NP_732541.1,NM_169913.2
NP_001303429.1,NM_001316500.1
NP_524669.2,NM_079930.4
NP_001262775.1,NM_001275846.2
NP_001287432.1,NM_001300503.1
NP_732543.2,NM_169915.2
NP_001163666.1,NM_001170195.3
NP_524420.1,NM_079696.6
NP_732544.1,NM_169916.3
NP_650907.2,NM_142650.3
NP_732549.2,NM_169920.2
NP_001138090.1,NM_001144618.3
NP_001138089.1,NM_001144617.3
NP_001138091.2,NM_001144619.3
NP_001247211.1,NM_001260282.2
NP_732550.1,NM_169921.2
NP_732546.1,NM_169917.1
NP_650909.1,NM_142652.2
NP_650910.1,NM_142653.3
NP_001262778.1,NM_001275849.1
NP_732557.2,NM_169927.3
NP_001097849.1,NM_001104379.2
NP_001356920.1,NM_001369986.1
NP_001356921.1,NM_001369987.1
NP_001262776.1,NM_001275847.1
NP_001262779.1,NM_001275850.1
NP_650913.2,NM_142656.4
NP_001262780.1,NM_001275851.1
NP_001262784.1,NM_001275855.1
NP_732558.2,NM_169928.3
NP_732559.1,NM_169929.3
NP_001097848.2,NM_001104378.2
NP_001262782.1,NM_001275853.1
NP_732555.1,NM_169925.3
NP_001262783.1,NM_001275854.1
NP_001262777.1,NM_001275848.1
NP_732556.1,NM_169926.2
NP_001356922.1,NM_001369988.1
NP_001262781.1,NM_001275852.1
NP_732553.2,NM_169923.3
NP_732554.1,NM_169924.3
NP_996246.1,NM_206524.2
NP_650915.1,NM_142658.3
NP_001262785.1,NM_001275856.1
NP_001036734.1,NM_001043269.3
NP_650916.1,NM_142659.2
NP_524421.1,NM_079697.3
NP_650917.1,NM_142660.4
NP_650918.1,NM_142661.3
NP_732563.2,NM_169932.2
NP_001262787.1,NM_001275858.1
NP_788697.1,NM_176520.2
NP_001262786.1,NM_001275857.1
NP_650920.3,NM_142663.4
NP_650921.1,NM_142664.2
NP_001287433.1,NM_001300504.1
NP_650922.1,NM_142665.3
NP_732566.1,NM_169933.2
NP_650924.3,NM_142667.3
NP_650925.1,NM_142668.3
NP_536778.2,NM_080517.3
NP_536779.2,NM_080518.3
NP_524422.1,NM_079698.3
NP_536782.2,NM_080521.3
NP_001303467.1,NM_001316538.1
NP_650926.1,NM_142669.4
NP_650927.1,NM_142670.3
NP_001262788.1,NM_001275859.1
NP_001036735.2,NM_001043270.2
NP_536781.2,NM_080520.3
NP_732570.1,NM_169935.2
NP_001097850.3,NM_001104380.3
NP_001097851.1,NM_001104381.3
NP_001262789.1,NM_001275860.1
NP_650929.1,NM_142672.3
NP_001262790.1,NM_001275861.1
NP_001163667.1,NM_001170196.3
NP_732574.1,NM_169938.3
NP_996249.1,NM_206527.3
NP_996248.1,NM_206526.3
NP_001262791.1,NM_001275862.2
NP_732572.1,NM_169936.3
NP_996250.1,NM_206528.3
NP_732575.1,NM_169939.2
NP_996247.1,NM_206525.3
NP_732573.1,NM_169937.3
NP_001247215.1,NM_001260286.2
NP_524423.2,NM_079699.4
NP_001247214.1,NM_001260285.2
NP_732576.1,NM_169940.4
NP_001247213.1,NM_001260284.2
NP_001287435.1,NM_001300506.1
NP_001287434.1,NM_001300505.1
NP_732577.1,NM_169941.2
NP_001247212.1,NM_001260283.2
NP_001247216.1,NM_001260287.1
NP_001247217.1,NM_001260288.1
NP_650931.1,NM_142674.4
NP_650932.1,NM_142675.2
NP_001247220.1,NM_001260291.1
NP_001247218.1,NM_001260289.1
NP_001247219.1,NM_001260290.1
NP_650933.2,NM_142676.4
NP_001262792.1,NM_001275863.1
NP_652230.1,NM_143973.3
NP_524424.2,NM_079700.3
NP_001262793.1,NM_001275864.1
NP_650934.1,NM_142677.3
NP_732580.3,NM_169942.4
NP_732581.1,NM_169943.2
NP_001287436.1,NM_001300507.1
NP_650936.1,NM_142679.3
NP_650937.3,NM_142680.4
NP_732584.1,NM_169944.3
NP_001262795.1,NM_001275866.1
NP_001163668.1,NM_001170197.1
NP_524425.2,NM_079701.5
NP_001247221.1,NM_001260292.1
NP_996251.2,NM_206529.2
NP_001247224.1,NM_001260295.1
NP_001247223.1,NM_001260294.1
NP_524426.2,NM_079702.3
NP_001247222.1,NM_001260293.2
NP_996252.1,NM_206530.2
NP_476603.1,NM_057255.3
NP_476604.1,NM_057256.4
NP_001262797.1,NM_001275868.1
NP_996253.1,NM_206531.2
NP_001262796.1,NM_001275867.1
NP_524427.1,NM_079703.3
NP_524428.1,NM_079704.1
NP_650938.2,NM_142681.3
NP_650939.2,NM_142682.2
NP_650940.2,NM_142683.3
NP_650941.3,NM_142684.3
NP_650942.1,NM_142685.3
NP_524429.1,NM_079705.3
NP_599137.1,NM_134310.3
NP_477170.1,NM_057822.4
NP_476979.1,NM_057631.6
NP_650943.1,NM_142686.3
NP_524430.1,NM_079706.3
NP_001262802.1,NM_001275873.1
NP_001262801.1,NM_001275872.1
NP_001247225.2,NM_001260296.1
NP_650944.3,NM_142687.3
NP_001247226.1,NM_001260297.2
NP_650945.1,NM_142688.1
NP_650946.3,NM_142689.4
NP_001097852.1,NM_001104382.2
NP_650947.1,NM_142690.2
NP_650948.2,NM_142691.2
NP_001247227.1,NM_001260298.1
NP_001097853.1,NM_001104383.2
NP_650949.1,NM_142692.3
NP_732594.1,NM_169946.2
NP_536757.2,NM_080509.3
NP_001163671.1,NM_001170200.2
NP_732598.1,NM_169947.3
NP_001163672.1,NM_001170201.2
NP_001097855.1,NM_001104385.2
NP_001097854.1,NM_001104384.3
NP_001036736.2,NM_001043271.3
NP_001163669.1,NM_001170198.2
NP_732599.1,NM_169948.3
NP_001036738.1,NM_001043273.3
NP_732600.1,NM_169949.3
NP_001163670.1,NM_001170199.2
NP_001036737.1,NM_001043272.2
NP_732601.1,NM_169950.3
NP_001036739.1,NM_001043274.2
NP_650951.1,NM_142694.3
NP_650952.2,NM_142695.2
NP_001262803.1,NM_001275874.1
NP_650953.1,NM_142696.3
NP_650954.1,NM_142697.4
NP_650955.1,NM_142698.2
NP_650956.1,NM_142699.3
NP_001303427.1,NM_001316498.1
NP_650957.1,NM_142700.2
NP_001262804.1,NM_001275875.1
NP_650958.2,NM_142701.2
NP_001287438.1,NM_001300509.1
NP_524431.2,NM_079707.4
NP_650959.2,NM_142702.2
NP_996255.1,NM_206533.2
NP_001287439.1,NM_001300510.1
NP_650960.2,NM_142703.3
NP_732610.1,NM_169953.3
NP_650961.2,NM_142704.3
NP_650962.1,NM_142705.3
NP_001163673.1,NM_001170202.2
NP_650963.2,NM_142706.4
NP_732612.1,NM_169954.2
NP_650964.1,NM_142707.3
NP_001287440.1,NM_001300511.1
NP_001163674.1,NM_001170203.1
NP_650966.2,NM_142709.2
NP_650965.1,NM_142708.3
NP_001287443.1,NM_001300514.1
NP_650967.2,NM_142710.4
NP_001287441.1,NM_001300512.1
NP_001287442.1,NM_001300513.1
NP_001303513.2,NM_001316584.1
NP_001303514.2,NM_001316585.1
NP_001287449.2,NM_001300520.2
NP_001303515.2,NM_001316586.1
NP_001303516.2,NM_001316587.1
NP_001303511.2,NM_001316582.1
NP_001303512.2,NM_001316583.1
NP_001287445.2,NM_001300516.1
NP_001303520.2,NM_001316591.1
NP_001287444.2,NM_001300515.1
NP_001303518.2,NM_001316589.1
NP_001303519.2,NM_001316590.1
NP_001287447.2,NM_001300518.1
NP_001287448.2,NM_001300519.1
NP_001303517.2,NM_001316588.1
NP_001287446.2,NM_001300517.1
NP_001303521.2,NM_001316592.1
NP_001189255.3,NM_001202326.2
NP_001189256.2,NM_001202327.2
NP_001287452.2,NM_001300523.1
NP_001287451.2,NM_001300522.1
NP_001303524.2,NM_001316595.1
NP_001287450.2,NM_001300521.1
NP_001303523.2,NM_001316594.1
NP_001287453.2,NM_001300524.1
NP_001303522.2,NM_001316593.1
NP_001303527.2,NM_001316598.1
NP_001189261.2,NM_001202332.2
NP_001303530.2,NM_001316601.1
NP_001189262.3,NM_001202333.2
NP_001334695.2,NM_001347765.1
NP_001189263.2,NM_001202334.3
NP_001303528.2,NM_001316599.1
NP_001334696.2,NM_001347766.1
NP_001189257.2,NM_001202328.2
NP_001303529.2,NM_001316600.1
NP_001303525.2,NM_001316596.1
NP_001189259.2,NM_001202330.2
NP_001303531.2,NM_001316602.1
NP_001189260.2,NM_001202331.2
NP_001303526.2,NM_001316597.1
NP_001189258.2,NM_001202329.2
NP_732623.2,NM_163881.2
NP_732619.1,NM_163877.2
NP_732620.1,NM_163878.2
NP_524936.2,NM_080197.3
NP_732621.1,NM_163879.2
NP_001097858.1,NM_001104388.2
NP_732622.1,NM_163880.2
NP_732624.1,NM_163882.2
NP_732625.1,NM_163883.2
NP_732626.1,NM_163884.2
NP_732627.1,NM_163885.2
NP_732628.1,NM_163886.2
NP_732630.1,NM_163888.2
NP_732629.1,NM_163887.2
NP_788698.1,NM_176521.1
NP_788699.1,NM_176522.1
NP_732631.1,NM_163889.2
NP_732632.1,NM_163890.2
NP_001097857.1,NM_001104387.2
NP_732633.1,NM_163891.2
NP_788700.1,NM_176523.1
NP_788701.1,NM_176524.1
NP_001247229.1,NM_001260300.1
NP_001247228.1,NM_001260299.1
NP_788702.1,NM_176525.1
NP_788703.1,NM_176526.1
NP_788704.1,NM_176527.1
NP_732634.1,NM_163892.2
NP_001097856.1,NM_001104386.2
NP_732635.1,NM_163893.2
NP_732636.1,NM_163894.2
NP_001303532.2,NM_001316603.1
NP_001303533.2,NM_001316604.1
NP_001303534.2,NM_001316605.1
NP_001303535.2,NM_001316606.1
NP_001303536.2,NM_001316607.1
NP_001303537.2,NM_001316608.1
NP_524433.1,NM_079709.3
NP_732637.1,NM_169958.2
NP_001097859.4,NM_001104389.3
NP_001097860.1,NM_001104390.2
NP_001097861.1,NM_001104391.3
NP_650970.2,NM_142713.3
NP_732641.2,NM_169959.3
NP_001262805.1,NM_001275876.2
NP_524434.2,NM_079710.4
NP_001138092.1,NM_001144620.2
NP_524435.2,NM_079711.3
NP_001262806.1,NM_001275877.1
NP_650971.2,NM_142714.3
NP_476873.2,NM_057525.3
NP_001163675.1,NM_001170204.2
NP_001163676.1,NM_001170205.2
NP_001036740.2,NM_001043275.2
NP_001014644.3,NM_001014644.3
NP_650972.2,NM_142715.3
NP_476657.1,NM_057309.3
NP_001262808.1,NM_001275879.1
NP_650974.1,NM_142717.2
NP_001138093.1,NM_001144621.3
NP_524436.2,NM_079712.6
NP_001138094.1,NM_001144622.2
NP_001138095.1,NM_001144623.2
NP_001287455.1,NM_001300526.1
NP_732647.1,NM_169962.3
NP_001287454.1,NM_001300525.1
NP_732646.1,NM_169961.3
NP_524437.2,NM_079713.3
NP_001262809.1,NM_001275880.2
NP_650975.1,NM_142718.2
NP_650976.1,NM_142719.2
NP_536736.2,NM_080488.3
NP_732650.1,NM_169963.2
NP_001163677.1,NM_001170206.2
NP_001189264.2,NM_001202335.2
NP_001189265.2,NM_001202336.2
NP_001163678.1,NM_001170207.1
NP_001163679.1,NM_001170208.2
NP_650979.1,NM_142722.1
NP_732652.1,NM_169964.3
NP_001303538.1,NM_001316609.1
NP_732653.2,NM_169965.2
NP_732654.1,NM_169966.2
NP_732655.3,NM_169967.3
NP_650983.1,NM_142726.2
NP_732658.1,NM_169968.1
NP_524438.1,NM_079714.2
NP_001287456.1,NM_001300527.1
NP_650984.1,NM_142727.1
NP_524439.1,NM_079715.3
NP_732660.1,NM_169969.2
NP_524440.2,NM_079716.3
NP_001262810.1,NM_001275881.1
NP_001163681.1,NM_001170210.2
NP_001262811.1,NM_001275882.1
NP_001097863.1,NM_001104393.3
NP_001097862.1,NM_001104392.3
NP_732662.2,NM_169971.3
NP_524441.2,NM_079717.5
NP_001369027.1,NM_001382187.1
NP_732661.1,NM_169970.3
NP_524442.2,NM_079718.3
NP_732664.2,NM_169972.2
NP_732665.1,NM_169973.1
NP_732666.1,NM_169974.1
NP_524443.2,NM_079719.3
NP_650987.1,NM_142730.3
NP_650988.1,NM_142731.3
NP_732669.1,NM_169975.3
NP_001097864.1,NM_001104394.2
NP_001262812.1,NM_001275883.1
NP_650989.7,NM_142732.3
NP_001262813.1,NM_001275884.1
NP_001262814.1,NM_001275885.1
NP_732671.1,NM_169976.1
NP_001247232.1,NM_001260303.2
NP_732672.1,NM_169977.3
NP_001247231.1,NM_001260302.1
NP_001138096.1,NM_001144624.1
NP_650991.1,NM_142734.2
NP_788708.2,NM_176531.2
NP_001303539.1,NM_001316610.1
NP_788705.1,NM_176528.2
NP_788710.1,NM_176533.1
NP_788711.1,NM_176534.1
NP_788707.1,NM_176530.1
NP_788709.1,NM_176532.1
NP_788706.1,NM_176529.1
NP_001262815.2,NM_001275886.1
NP_732682.2,NM_169985.2
NP_001262816.2,NM_001275887.1
NP_650993.1,NM_142736.3
NP_650994.1,NM_142737.2
NP_650995.1,NM_142738.3
NP_650996.1,NM_142739.3
NP_001303542.1,NM_001316613.1
NP_001303541.1,NM_001316612.1
NP_001303540.1,NM_001316611.1
NP_650997.1,NM_142740.2
NP_650998.1,NM_142741.4
NP_001097865.1,NM_001104395.2
NP_652002.2,NM_143745.3
NP_001262817.1,NM_001275888.1
NP_650999.1,NM_142742.3
NP_651000.1,NM_142743.3
NP_001163682.1,NM_001170211.1
NP_524444.3,NM_079720.3
NP_001262818.1,NM_001275889.1
NP_001262819.1,NM_001275890.1
NP_651001.2,NM_142744.3
NP_651002.3,NM_142745.4
NP_651003.1,NM_142746.3
NP_001262820.1,NM_001275891.1
NP_732692.1,NM_169990.3
NP_001262821.1,NM_001275892.1
NP_524445.1,NM_079721.4
NP_651004.1,NM_142747.4
NP_651005.1,NM_142748.5
NP_001287458.1,NM_001300529.1
NP_732694.2,NM_169991.2
NP_001287459.1,NM_001300530.1
NP_524446.3,NM_079722.4
NP_651006.1,NM_142749.3
NP_001262822.1,NM_001275893.1
NP_524447.2,NM_079723.4
NP_001163683.1,NM_001170212.2
NP_001163684.1,NM_001170213.2
NP_001027203.1,NM_001032032.3
NP_732695.1,NM_169992.3
NP_651007.1,NM_142750.2
NP_651008.1,NM_142751.2
NP_001262823.1,NM_001275894.1
NP_001262824.1,NM_001275895.1
NP_652235.1,NM_143978.4
NP_001303434.1,NM_001316505.1
NP_651009.1,NM_142752.1
NP_732699.1,NM_169993.1
NP_732700.2,NM_169994.2
NP_732701.2,NM_169995.2
NP_001262825.1,NM_001275896.1
NP_001369028.1,NM_001382087.1
NP_732702.3,NM_169996.2
NP_996263.2,NM_206540.2
NP_001369029.1,NM_001382088.1
NP_001247233.1,NM_001260304.2
NP_001262828.1,NM_001275899.1
NP_001247234.1,NM_001260305.1
NP_001036742.2,NM_001043277.3
NP_732703.1,NM_169997.5
NP_001262827.1,NM_001275898.1
NP_001262826.1,NM_001275897.1
NP_001262829.1,NM_001275900.1
NP_651012.2,NM_142755.4
NP_001287460.1,NM_001300531.1
NP_732707.1,NM_169999.3
NP_001247235.2,NM_001260306.2
NP_651016.1,NM_142759.3
NP_001247236.1,NM_001260307.2
NP_651018.2,NM_142761.4
NP_001262830.1,NM_001275901.2
NP_001303543.1,NM_001316614.1
NP_001287461.1,NM_001300532.1
NP_651019.1,NM_142762.4
NP_001036743.1,NM_001043278.1
NP_651020.1,NM_142763.3
NP_651021.1,NM_142764.3
NP_001287462.1,NM_001300533.1
NP_651022.1,NM_142765.2
NP_651023.1,NM_142766.2
NP_001262831.1,NM_001275902.1
NP_651024.1,NM_142767.2
NP_732718.1,NM_170001.3
NP_732719.1,NM_170002.3
NP_732717.1,NM_170000.3
NP_996265.1,NM_206542.2
NP_651026.1,NM_142769.4
NP_001262832.1,NM_001275903.2
NP_001287464.1,NM_001300535.1
NP_001036744.1,NM_001043279.1
NP_001287463.1,NM_001300534.1
NP_996266.1,NM_206543.2
NP_651027.1,NM_142770.2
NP_732721.1,NM_170003.3
NP_001247237.1,NM_001260308.1
NP_651029.1,NM_142772.1
NP_732723.1,NM_170004.2
NP_524448.3,NM_079724.3
NP_651030.1,NM_142773.1
NP_651031.1,NM_142774.3
NP_001036745.1,NM_001043280.3
NP_001097869.1,NM_001104399.2
NP_001247238.1,NM_001260309.2
NP_001163685.1,NM_001170214.2
NP_732726.2,NM_170006.4
NP_732725.2,NM_170005.3
NP_001262833.1,NM_001275904.1
NP_651033.2,NM_142776.4
NP_651034.2,NM_142777.2
NP_788713.1,NM_176536.2
NP_732730.1,NM_170008.2
NP_651035.1,NM_142778.2
NP_651036.1,NM_142779.3
NP_651037.1,NM_142780.3
NP_651038.3,NM_142781.5
NP_001262834.1,NM_001275905.1
NP_732734.3,NM_170009.4
NP_732736.2,NM_170011.3
NP_651040.3,NM_142783.2
NP_001262835.1,NM_001275906.1
NP_651041.3,NM_142784.3
NP_001287465.1,NM_001300536.1
NP_001287466.1,NM_001300537.1
NP_651042.1,NM_142785.2
NP_001262836.1,NM_001275907.1
NP_651043.2,NM_142786.3
NP_651044.1,NM_142787.2
NP_001097870.2,NM_001104400.2
NP_001097872.1,NM_001104402.2
NP_732741.1,NM_170013.3
NP_651048.1,NM_142791.3
NP_651049.3,NM_142792.5
NP_001163686.1,NM_001170215.2
NP_732744.1,NM_170015.3
NP_651050.1,NM_142793.3
NP_651051.1,NM_142794.3
NP_651052.1,NM_142795.4
NP_524449.1,NM_079725.5
NP_001163687.1,NM_001170216.3
NP_001262841.1,NM_001275912.2
NP_001287467.1,NM_001300538.1
NP_001262842.1,NM_001275913.2
NP_001262840.1,NM_001275911.2
NP_001262838.1,NM_001275909.2
NP_001262839.1,NM_001275910.2
NP_001262837.1,NM_001275908.2
NP_001163688.1,NM_001170217.2
NP_651053.1,NM_142796.4
NP_651054.1,NM_142797.2
NP_732748.1,NM_170016.2
NP_524450.2,NM_079726.4
NP_651055.1,NM_142798.2
NP_001163689.1,NM_001170218.2
NP_651056.1,NM_142799.2
NP_001262843.1,NM_001275914.1
NP_001034064.1,NM_001038975.3
NP_651057.1,NM_142800.3
NP_001163690.1,NM_001170219.2
NP_651058.1,NM_142801.2
NP_788714.1,NM_176537.2
NP_788715.2,NM_176538.2
NP_651060.1,NM_142803.3
NP_651061.1,NM_142804.3
NP_732758.1,NM_170019.2
NP_001247239.1,NM_001260310.2
NP_001262844.1,NM_001275915.1
NP_732759.2,NM_170020.2
NP_651062.3,NM_142805.4
NP_732761.1,NM_170022.2
NP_732762.1,NM_170023.2
NP_651063.1,NM_142806.2
NP_788716.1,NM_176539.2
NP_524451.1,NM_079727.3
NP_524452.4,NM_079728.5
NP_788717.1,NM_176540.2
NP_651066.2,NM_142809.4
NP_732768.1,NM_170026.2
NP_732769.3,NM_170027.4
NP_001163691.2,NM_001170220.2
NP_788718.3,NM_176541.3
NP_001097874.1,NM_001104404.2
NP_001097873.1,NM_001104403.2
NP_651070.3,NM_142813.6
NP_651069.1,NM_142812.2
NP_732771.2,NM_170028.3
NP_001287468.1,NM_001300539.1
NP_732772.2,NM_170029.2
NP_651072.1,NM_142815.4
NP_732773.1,NM_170030.2
NP_732775.1,NM_170032.3
NP_001247241.1,NM_001260312.2
NP_732776.1,NM_170033.3
NP_001247240.1,NM_001260311.1
NP_001287470.1,NM_001300541.1
NP_001287469.1,NM_001300540.1
NP_001247245.1,NM_001260316.1
NP_651076.2,NM_142819.3
NP_001247244.1,NM_001260315.1
NP_001189266.1,NM_001202337.2
NP_001247243.1,NM_001260314.3
NP_001262845.1,NM_001275916.1
NP_732780.1,NM_170034.3
NP_651078.1,NM_142821.3
NP_001189267.1,NM_001202338.2
NP_651079.2,NM_142822.3
NP_651080.2,NM_142823.3
NP_651081.1,NM_142824.3
NP_651082.1,NM_142825.4
NP_651083.2,NM_142826.2
NP_001262846.1,NM_001275917.2
NP_001303445.1,NM_001316516.1
NP_651084.1,NM_142827.2
NP_651085.2,NM_142828.3
NP_651086.1,NM_142829.3
NP_732791.2,NM_170038.2
NP_001262847.1,NM_001275918.1
NP_001036746.1,NM_001043281.2
NP_732790.3,NM_170037.2
NP_477371.1,NM_058023.5
NP_651088.1,NM_142831.4
NP_001097877.1,NM_001104407.3
NP_001287472.1,NM_001300543.1
NP_001097876.1,NM_001104406.3
NP_001287471.1,NM_001300542.1
NP_001287473.1,NM_001300544.1
NP_651090.2,NM_142833.2
NP_524453.1,NM_079729.3
NP_651091.1,NM_142834.3
NP_651092.1,NM_142835.4
NP_651093.1,NM_142836.3
NP_651094.2,NM_142837.4
NP_001262848.1,NM_001275919.1
NP_732797.1,NM_170040.3
NP_001262849.1,NM_001275920.2
NP_651095.1,NM_142838.4
NP_001097880.1,NM_001104410.3
NP_001262853.1,NM_001275924.2
NP_001262852.1,NM_001275923.2
NP_001097881.1,NM_001104411.3
NP_788719.1,NM_176542.4
NP_001262851.1,NM_001275922.2
NP_651099.1,NM_142842.3
NP_651096.1,NM_142839.4
NP_651097.1,NM_142840.4
NP_651098.2,NM_142841.4
NP_652241.1,NM_143984.3
NP_001303483.1,NM_001316554.1
NP_001247246.1,NM_001260317.3
NP_001247247.1,NM_001260318.1
NP_001247248.1,NM_001260319.1
NP_001247249.1,NM_001260320.2
NP_001247250.1,NM_001260321.2
NP_001287474.1,NM_001300545.1
NP_001287475.1,NM_001300546.1
NP_651101.1,NM_142844.1
NP_651102.3,NM_142845.3
NP_001287476.1,NM_001300547.1
NP_651103.1,NM_142846.2
NP_524454.2,NM_079730.3
NP_651104.1,NM_142847.2
NP_732806.1,NM_170042.2
NP_001262854.1,NM_001275925.1
NP_001287477.1,NM_001300548.1
NP_651105.1,NM_142848.3
NP_001247251.1,NM_001260322.1
NP_732807.1,NM_170043.2
NP_524455.1,NM_079731.1
NP_524456.1,NM_079732.1
NP_651109.3,NM_142852.4
NP_001163693.1,NM_001170222.1
NP_001262855.1,NM_001275926.1
NP_651110.1,NM_142853.2
NP_732811.1,NM_170044.2
NP_001262856.1,NM_001275927.1
NP_651111.1,NM_142854.2
NP_651112.1,NM_142855.2
NP_651113.1,NM_142856.1
NP_651114.1,NM_142857.4
NP_996267.1,NM_206544.2
NP_001163694.1,NM_001170223.1
NP_996268.1,NM_206545.2
NP_001247252.2,NM_001260323.2
NP_732816.1,NM_170046.1
NP_788720.2,NM_176543.2
NP_651116.1,NM_142859.3
NP_001189269.1,NM_001202340.2
NP_788721.1,NM_176544.3
NP_651118.1,NM_142861.4
NP_651119.2,NM_142862.2
NP_001097883.2,NM_001104413.3
NP_001163695.1,NM_001170224.2
NP_001262857.1,NM_001275928.1
NP_001287479.1,NM_001300550.1
NP_651121.1,NM_142864.2
NP_001262858.1,NM_001275929.1
NP_001287478.1,NM_001300549.1
NP_732822.1,NM_170048.3
NP_651120.1,NM_142863.2
NP_001262859.1,NM_001275930.1
NP_651122.2,NM_142865.4
NP_651123.1,NM_142866.3
NP_651124.1,NM_142867.3
NP_651126.3,NM_142869.5
NP_524458.1,NM_079734.5
NP_732826.2,NM_170049.4
NP_732827.1,NM_170050.2
NP_732828.1,NM_170051.2
NP_001034065.1,NM_001038976.1
NP_001262860.1,NM_001275931.1
NP_001247255.1,NM_001260326.2
NP_788722.1,NM_176545.3
NP_001247253.1,NM_001260324.2
NP_001247254.1,NM_001260325.2
NP_001303430.1,NM_001316501.1
NP_788723.1,NM_176546.3
NP_651128.1,NM_142871.1
NP_651129.1,NM_142872.3
NP_001262862.1,NM_001275933.1
NP_001262861.1,NM_001275932.1
NP_001189270.1,NM_001202341.1
NP_001097884.1,NM_001104414.2
NP_001262863.1,NM_001275934.1
NP_001163697.1,NM_001170226.1
NP_651131.2,NM_142874.3
NP_001334697.1,NM_001347788.1
NP_732833.1,NM_170053.3
NP_001262864.1,NM_001275935.1
NP_001247260.1,NM_001260331.1
NP_001247259.1,NM_001260330.1
NP_732838.2,NM_170058.2
NP_732834.1,NM_170054.4
NP_001262865.1,NM_001275936.1
NP_732839.1,NM_170059.3
NP_001247256.1,NM_001260327.2
NP_732837.1,NM_170057.2
NP_001247257.1,NM_001260328.1
NP_732836.1,NM_170056.2
NP_732835.1,NM_170055.2
NP_001247261.1,NM_001260332.2
NP_001247262.1,NM_001260333.2
NP_001247258.1,NM_001260329.2
NP_732840.1,NM_170060.2
NP_001036747.1,NM_001043282.2
NP_651133.2,NM_142876.4
NP_001163698.1,NM_001170227.1
NP_651134.1,NM_142877.1
NP_001262869.1,NM_001275940.1
NP_001262866.1,NM_001275937.1
NP_001262868.1,NM_001275939.1
NP_001262867.1,NM_001275938.1
NP_732846.1,NM_170061.3
NP_651135.1,NM_142878.4
NP_651136.1,NM_142879.3
NP_651137.3,NM_142880.3
NP_001247263.1,NM_001260334.1
NP_001262870.1,NM_001275941.1
NP_524460.2,NM_079736.3
NP_732848.1,NM_170062.2
NP_732850.1,NM_170064.2
NP_732849.2,NM_170063.2
NP_732851.2,NM_170065.2
NP_001163699.1,NM_001170228.1
NP_477397.1,NM_058049.5
NP_651138.1,NM_142881.3
NP_001262871.1,NM_001275942.1
NP_651139.1,NM_142882.2
NP_651140.1,NM_142883.2
NP_524461.2,NM_079737.3
NP_001262872.1,NM_001275943.1
NP_732857.1,NM_170651.4
NP_732858.1,NM_170070.2
NP_524462.2,NM_079738.3
NP_001262873.1,NM_001275944.1
NP_001247264.1,NM_001260335.1
NP_477194.1,NM_057846.5
NP_001287480.1,NM_001300551.1
NP_651977.1,NM_143720.4
NP_001287481.1,NM_001300552.1
NP_476632.1,NM_057284.6
NP_651141.2,NM_142884.2
NP_001287482.1,NM_001300553.1
NP_732863.2,NM_170073.2
NP_651142.3,NM_142885.3
NP_001189271.1,NM_001202342.1
NP_001287484.1,NM_001300555.1
NP_651143.2,NM_142886.2
NP_001287483.1,NM_001300554.1
NP_732865.2,NM_170074.2
NP_651145.2,NM_142888.4
NP_001138099.1,NM_001144627.1
NP_001097885.2,NM_001104415.2
NP_651146.2,NM_142889.3
NP_001262874.1,NM_001275945.2
NP_001262875.1,NM_001275946.1
NP_732868.2,NM_170075.2
NP_651147.2,NM_142890.2
NP_651148.2,NM_142891.2
NP_001247265.1,NM_001260336.2
NP_001138100.1,NM_001144628.3
NP_001287485.1,NM_001300556.1
NP_651149.2,NM_142892.2
NP_001163700.1,NM_001170229.2
NP_732871.1,NM_170076.2
NP_651150.1,NM_142893.2
NP_001287486.1,NM_001300557.1
NP_732874.1,NM_170077.2
NP_732875.1,NM_170078.2
NP_651151.1,NM_142894.2
NP_001287487.1,NM_001300558.1
NP_651152.1,NM_142895.3
NP_001189272.1,NM_001202343.1
NP_651153.1,NM_142896.2
NP_651154.1,NM_142897.2
NP_001163701.1,NM_001170230.2
NP_651155.1,NM_142898.2
NP_001262876.1,NM_001275947.1
NP_651156.1,NM_142899.2
NP_651158.1,NM_142901.2
NP_996269.2,NM_206546.2
NP_651159.3,NM_142902.3
NP_651160.3,NM_142903.3
NP_651161.1,NM_142904.4
NP_001356923.1,NM_001369999.1
